sample_id,treatment,motu,reads_raw,found_taxa,common_name,site_code,region_name,region_code,decimal_latitude,decimal_longitude,genus,family,order,class,asv,rank,identity_percentage,evalue,kingdom,phylum,freshwater_only,motu_pa,location_name,year,extraction_blank,library,sample_collection_date,swell_m,salinity_psu,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,temperature_c,notes_about_sample,filtration_comments,region_name_label,region_code_label,dna_extraction_date,extraction_notes,pcr_blank
pecoe-0005,Field blank,motu19,19412,Ammodytes personatus,Pacific sandlance,NC_E,CA_NC,CA_NCa,38.10503,-122.8484,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0005,Field blank,motu82,23735,Balaenoptera physalus,Fin whale,NC_E,CA_NC,CA_NCa,38.10503,-122.8484,Balaenoptera,Balaenopteridae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0006,Field blank,motu3,63,Clupea pallasii,Pacific herring,NC_BL,CA_NC,CA_NCa,38.184255,-122.9194,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0014,Field blank,motu6,496,Pholis laeta,Crescent gunnel,NC_WP,CA_NC,CA_NCa,38.31916025,-123.052735,Pholis,Pholidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0014,Field blank,motu28,13390,Hexagrammos decagrammus,Kelp greenling,NC_WP,CA_NC,CA_NCa,38.31916025,-123.052735,Hexagrammos,Hexagrammidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0014,Field blank,motu380,257,Unknown bacteria,Bacteria,NC_WP,CA_NC,CA_NCa,38.31916025,-123.052735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0034,Field blank,motu2,13,Leptocottus armatus,Pacific staghorn sculpin,YB_SBS,OR_YB,OR_YB,44.612145000000005,-124.013467,Leptocottus,Cottidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0034,Field blank,motu50,191,Aulorhynchus flavidus,Tube-snout,YB_SBS,OR_YB,OR_YB,44.612145000000005,-124.013467,Aulorhynchus,Aulorhynchidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0041,Field blank,motu78,431,Salmo salar,Atlantic salmon,CB_FP,OR_CB,OR_CB,43.35965,-124.310117,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0041,Field blank,motu78,353,Salmo salar,Atlantic salmon,CB_FP,OR_CB,OR_CB,43.35965,-124.310117,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0049,Field blank,motu3,1155,Clupea pallasii,Pacific herring,YB_IF,OR_YB,OR_YB,44.618267,-124.03014433333334,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0059,Field blank,motu3,1187,Clupea pallasii,Pacific herring,HG_RI,BC_HG,BC_HGa,52.57346275,-131.39581525,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
