Sample ID,Well Position*,Project,,,,,,,,,,
PECOe-1341,A-A01,PECO 2024,,,,,,,,,,
PECOe-1342,A-B01,PECO 2024,,,,,,,,,,
PECOe-1343,A-C01,PECO 2024,,,,,,,,,,
PECOe-1344,A-D01,PECO 2024,,,,,,,,,,
PECOe-1345,A-E01,PECO 2024,,,,,,,,,,
PECOe-1346,A-F01,PECO 2024,,,,,,,,,,
PECOe-1347,A-G01,PECO 2024,,,,,,,,,,
PECOe-1348,A-H01,PECO 2024,,,,,,,,,,
PECOe-1349,A-A02,PECO 2024,,,,,,,,,,
PECOe-1350,A-B02,PECO 2024,,,,,,,,,,
PECOe-1351,A-C02,PECO 2024,,,,,,,,,,
PECOe-1352,A-D02,PECO 2024,,,,,,,,,,
PECOe-1353,A-E02,PECO 2024,,,,,,,,,,
PECOe-1354,A-F02,PECO 2024,,,,,,,,,,
PECOe-1355,A-G02,PECO 2024,,,,,,,,,,
PECOe-1356,A-H02,PECO 2024,,,,,,,,,,
PECOe-1357,A-A03,PECO 2024,,,,,,,,,,
PECOe-1358,A-B03,PECO 2024,,,,,,,,,,
PECOe-1359,A-C03,PECO 2024,,,,,,,,,,
PECOe-1360,A-D03,PECO 2024,,,,,,,,,,
PECOe-1361,A-E03,PECO 2024,,,,,,,,,,
PECOe-1362,A-F03,PECO 2024,,,,,,,,,,
PECOe-1363,A-G03,PECO 2024,,,,,,,,,,
PECOe-1364,A-H03,PECO 2024,,,,,,,,,,
PECOe-1365,A-A04,PECO 2024,,,,,,,,,,
PECOe-1366,A-B04,PECO 2024,,,,,,,,,,
PECOe-1367,A-C04,PECO 2024,,,,,,,,,,
PECOe-1368,A-D04,PECO 2024,,,,,,,,,,
PECOe-1369,A-E04,PECO 2024,,,,,,,,,,
PECOe-1370,A-F04,PECO 2024,,,,,,,,,,
PECOe-1371,A-G04,PECO 2024,,,,,,,,,,
PECOe-1372,A-H04,PECO 2024,,,,,,,,,,
PECOe-1373,A-A05,PECO 2024,,,,,,,,,,
PECOe-1374,A-B05,PECO 2024,,,,,,,,,,
PECOe-1375,A-C05,PECO 2024,,,,,,,,,,
PECOe-1376,A-D05,PECO 2024,,,,,,,,,,
PECOe-1377,A-E05,PECO 2024,,,,,,,,,,
PECOe-1378,A-F05,PECO 2024,,,,,,,,,,
PECOe-1379,A-G05,PECO 2024,,,,,,,,,,
PECOe-1380,A-H05,PECO 2024,,,,,,,,,,
PECOe-1381,A-A06,PECO 2024,,,,,,,,,,
PECOe-1382,A-B06,PECO 2024,,,,,,,,,,
PECOe-1383,A-C06,PECO 2024,,,,,,,,,,
PECOe-1384,A-D06,PECO 2024,,,,,,,,,,
PECOe-1385,A-E06,PECO 2024,,,,,,,,,,
PECOe-1386,A-F06,PECO 2024,,,,,,,,,,
PECOe-1387,A-G06,PECO 2024,,,,,,,,,,
PECOe-1388,A-H06,PECO 2024,,,,,,,,,,
PECOe-1389,A-A07,PECO 2024,,,,,,,,,,
PECOe-1390,A-B07,PECO 2024,,,,,,,,,,
PECOe-1391,A-C07,PECO 2024,,,,,,,,,,
PECOe-1392,A-D07,PECO 2024,,,,,,,,,,
PECOe-1393,A-E07,PECO 2024,,,,,,,,,,
PECOe-1394,A-F07,PECO 2024,,,,,,,,,,
PECOe-1395,A-G07,PECO 2024,,,,,,,,,,
PECOe-1396,A-H07,PECO 2024,,,,,,,,,,
PECOe-1397,A-A08,PECO 2024,,,,,,,,,,
PECOe-1398,A-B08,PECO 2024,,,,,,,,,,
PECOe-1399,A-C08,PECO 2024,,,,,,,,,,
PECOe-1400,A-D08,PECO 2024,,,,,,,,,,
PECOe-1401,A-E08,PECO 2024,,,,,,,,,,
PECOe-1402,A-F08,PECO 2024,,,,,,,,,,
PECOe-1403,A-G08,PECO 2024,,,,,,,,,,
PECOe-1404,A-H08,PECO 2024,,,,,,,,,,
PECOe-1405,A-A09,PECO 2024,,,,,,,,,,
