region_label,term,intercept,std_error,df,t_value,pr_t,aic,sd,blme
"Juneau Region, Alaska",95th intercept,6.835,3.323,14.57,2.057,0.058,36.413,0.536,NA
"Juneau Region, Alaska",95th percentile SST,0.212,0.216,14.496,0.984,0.341,36.413,0.536,NA
"Juneau Region, Alaska",75th intercept,8.201,3.346,14.608,2.451,0.027,36.876,0.547,NA
"Juneau Region, Alaska",75th percentile SST,0.136,0.239,14.534,0.569,0.578,36.876,0.547,NA
"Juneau Region, Alaska",Mean intercept,11.177,2.809,14.465,3.979,0.001,37.202,0.546,NA
"Juneau Region, Alaska",Mean SST,-0.085,0.221,14.353,-0.384,0.707,37.202,0.546,NA
Southeast Alaska,95th intercept,25.491,9.036,NA,2.821,NA,17.989,0.481,BLME
Southeast Alaska,95th percentile SST,-0.983,0.612,NA,-1.606,NA,17.989,0.481,BLME
Southeast Alaska,75th intercept,-15.392,40.242,NA,-0.382,NA,18.609,0.507,BLME
Southeast Alaska,75th percentile SST,1.897,2.894,NA,0.656,NA,18.609,0.507,BLME
Southeast Alaska,Mean intercept,38.998,23.843,NA,1.636,NA,17.107,0.503,BLME
Southeast Alaska,Mean SST,-2.168,1.845,NA,-1.175,NA,17.107,0.503,BLME
"Haida Gwaii, British Columbia",95th intercept,-2.269,4.318,NA,-0.526,NA,66.085,0.753,BLME
"Haida Gwaii, British Columbia",95th percentile SST,0.856,0.272,NA,3.151,NA,66.085,0.753,BLME
"Haida Gwaii, British Columbia",75th intercept,-9.311,5.464,NA,-1.704,NA,62.29,0.697,BLME
"Haida Gwaii, British Columbia",75th percentile SST,1.377,0.364,NA,3.779,NA,62.29,0.697,BLME
"Haida Gwaii, British Columbia",Mean intercept,-0.8,5.87,NA,-0.136,NA,69.698,0.818,BLME
"Haida Gwaii, British Columbia",Mean SST,0.894,0.433,NA,2.067,NA,69.698,0.818,BLME
Central Coast British Columbia,95th intercept,22.908,34.804,16.875,0.658,0.519,55.848,1.041,NA
Central Coast British Columbia,95th percentile SST,-0.732,2.111,16.863,-0.347,0.733,55.848,1.041,NA
Central Coast British Columbia,75th intercept,15.383,13.007,13.88,1.183,0.257,57.72,1.056,NA
Central Coast British Columbia,75th percentile SST,-0.291,0.832,13.949,-0.35,0.732,57.72,1.056,NA
Central Coast British Columbia,Mean intercept,9.505,29.59,16.091,0.321,0.752,56.015,1.05,NA
Central Coast British Columbia,Mean SST,0.093,2.068,16.124,0.045,0.965,56.015,1.05,NA
"North Vancouver Island, British Columbia",95th intercept,18.253,3.899,12.791,4.682,0,31.711,0.479,NA
"North Vancouver Island, British Columbia",95th percentile SST,-0.478,0.255,12.718,-1.873,0.084,31.711,0.479,NA
"North Vancouver Island, British Columbia",75th intercept,15.222,2.314,13.059,6.578,0,32.645,0.483,NA
"North Vancouver Island, British Columbia",75th percentile SST,-0.304,0.164,12.859,-1.849,0.088,32.645,0.483,NA
"North Vancouver Island, British Columbia",Mean intercept,17.167,3.646,13.245,4.709,0,32.017,0.49,NA
"North Vancouver Island, British Columbia",Mean SST,-0.48,0.281,13.173,-1.705,0.112,32.017,0.49,NA
"Inner Coast, British Columbia",95th intercept,5.414,6.856,NA,0.79,NA,41.857,0.613,BLME
"Inner Coast, British Columbia",95th percentile SST,0.332,0.358,NA,0.929,NA,41.857,0.613,BLME
"Inner Coast, British Columbia",75th intercept,12.716,5.376,NA,2.365,NA,42.371,0.631,BLME
"Inner Coast, British Columbia",75th percentile SST,-0.053,0.301,NA,-0.175,NA,42.371,0.631,BLME
"Inner Coast, British Columbia",Mean intercept,14.411,4.681,NA,3.078,NA,42,0.627,BLME
"Inner Coast, British Columbia",Mean SST,-0.162,0.287,NA,-0.563,NA,42,0.627,BLME
"Pacific Rim Park, British Columbia",95th intercept,7.57,6.669,NA,1.135,NA,52.801,0.609,BLME
"Pacific Rim Park, British Columbia",95th percentile SST,0.226,0.402,NA,0.563,NA,52.801,0.609,BLME
"Pacific Rim Park, British Columbia",75th intercept,12.305,4.054,NA,3.036,NA,53.998,0.611,BLME
"Pacific Rim Park, British Columbia",75th percentile SST,-0.064,0.265,NA,-0.242,NA,53.998,0.611,BLME
"Pacific Rim Park, British Columbia",Mean intercept,12.606,8.021,NA,1.571,NA,52.547,0.611,BLME
"Pacific Rim Park, British Columbia",Mean SST,-0.09,0.56,NA,-0.16,NA,52.547,0.611,BLME
"Puget Sound & Padilla Bay, Washington",95th intercept,11.139,1.171,29.938,9.509,0,51.528,0.427,NA
"Puget Sound & Padilla Bay, Washington",95th percentile SST,0.034,0.072,29.568,0.475,0.638,51.528,0.427,NA
"Puget Sound & Padilla Bay, Washington",75th intercept,11.324,0.955,29.934,11.857,0,51.855,0.429,NA
"Puget Sound & Padilla Bay, Washington",75th percentile SST,0.025,0.063,29.398,0.391,0.699,51.855,0.429,NA
"Puget Sound & Padilla Bay, Washington",Mean intercept,11.131,1.427,28.783,7.799,0,50.872,0.427,NA
"Puget Sound & Padilla Bay, Washington",Mean SST,0.041,0.103,29.357,0.395,0.696,50.872,0.427,NA
"Willapa Bay, Washington",95th intercept,11.698,2.613,17.437,4.477,0,45.502,0.589,NA
"Willapa Bay, Washington",95th percentile SST,0.035,0.146,17.477,0.242,0.812,45.502,0.589,NA
"Willapa Bay, Washington",75th intercept,12.267,2.609,17.993,4.702,0,45.415,0.598,NA
"Willapa Bay, Washington",75th percentile SST,0.003,0.157,17.994,0.02,0.984,45.415,0.598,NA
"Willapa Bay, Washington",Mean intercept,13.805,2.78,17.973,4.966,0,44.868,0.602,NA
"Willapa Bay, Washington",Mean SST,-0.096,0.178,17.98,-0.539,0.597,44.868,0.602,NA
"Willapa Bay, Washington",Upwelling intercept,7.431,2.626,17.879,2.83,0.011,38.116,0.571,NA
"Willapa Bay, Washington",BEUTI index,2.211,1.191,17.756,1.857,0.08,38.116,0.571,NA
"Yaquina Bay, Oregon",95th intercept,16.872,4.937,9.712,3.418,0.007,13.682,0.337,NA
"Yaquina Bay, Oregon",95th percentile SST,-0.35,0.324,9.643,-1.081,0.306,13.682,0.337,NA
"Yaquina Bay, Oregon",75th intercept,14.091,5.398,9.511,2.61,0.027,14.271,0.355,NA
"Yaquina Bay, Oregon",75th percentile SST,-0.185,0.392,9.449,-0.473,0.647,14.271,0.355,NA
